Day Cases
49 10
50 12
51 23
52 33
53 38
54 43
55 50
56 56
57 59
58 65
59 88
60 141
61 200
62 231
63 263
64 302
65 367
66 409
67 454
68 511
69 584
70 716
71 847
72 986
73 1171
74 1251
75 1320
76 1423
77 1468
78 1572
79 1666
80 1760
81 1828
82 1907
83 1989
84 2071
85 2157
86 2270
87 2417
88 2535
89 2628
90 2718
91 2812
92 2909
93 3008
94 3127
95 3256
96 3382
97 3517
98 3649
99 3848
100 4006
101 4153
102 4297
103 4470
104 4654
105 4832
106 5002
107 5179
108 5371
109 5557
110 5724
111 5890
112 6067
113 6254
114 6441
115 6629
116 6821
117 7019
118 7201
