Day Cases
56 10
57 10
58 13
59 943
60 1278
61 1468
62 2090
63 2750
64 3345
65 3995
66 4709
67 5494
68 6363
69 7354
70 8498
71 9728
72 10984
73 12304
74 13717
75 15213
76 16684
77 17858
78 19119
79 20658
80 22101
81 23279
82 24311
83 25678
84 27035
85 28209
86 30809
87 32814
88 34356
89 35633
90 37658
91 39402
92 41663
93 43299
94 44919
95 46371
96 48032
97 49619
98 51143
99 52872
100 54454
101 56344
102 57926
103 60504
104 61957
105 63215
106 64693
107 66203
108 67669
109 68922
110 70093
111 71259
112 72418
113 73578
114 74765
115 75978
116 77187
117 78343
118 79408
