Day Cases
51 11
52 26
53 37
54 47
55 56
56 67
57 81
58 103
59 143
60 211
61 302
62 348
63 349
64 433
65 566
66 683
67 783
68 882
69 1004
70 1177
71 1183
72 1312
73 1487
74 1653
75 1821
76 1977
77 2104
78 2248
79 2528
80 2752
81 2974
82 3235
83 3397
84 3477
85 3569
86 3754
87 4015
88 4209
89 4274
90 4467
91 4658
92 4821
93 5166
94 5338
95 5538
96 5779
97 6021
98 6021
99 6378
100 6532
101 6720
102 7090
103 7090
104 7197
105 7523
106 7730
107 7868
108 8071
109 8279
110 8452
111 8614
112 8781
113 8949
114 9111
115 9274
116 9444
117 9608
118 9726
