Day Cases Previous
46 13 12
49 13 13
52 13 13
55 15 13
58 57 15
61 68 57
64 118 68
67 262 118
70 583 262
73 1663 583
76 3499 1663
79 7783 3499
82 25600 7783
85 53736 25600
88 101657 53736
91 161831 101657
94 243622 161831
97 336802 243622
100 428654 336802
103 526396 428654
106 607670 526396
109 699706 607670
112 784326 699706
115 869170 784326
118 965785 869170
121 1039909 965785
124 1132539 1039909
127 1204351 1132539
130 1283929 1204351
133 1347881 1283929
136 1417774 1347881
139 1486757 1417774
