Day Cases Previous
40 13 12
43 16 13
46 16 16
49 16 16
52 16 16
55 16 16
58 27 16
61 79 27
64 196 79
67 670 196
70 1176 670
73 2078 1176
76 5795 2078
79 12327 5795
82 22213 12327
85 32986 22213
88 50871 32986
91 66885 50871
94 84794 66885
97 100123 84794
100 113296 100123
103 124908 113296
106 131359 124908
109 141397 131359
112 147065 141397
115 153129 147065
118 157770 153129
121 161539 157770
124 164967 161539
127 167007 164967
130 170588 167007
133 172576 170588
136 174478 172576
139 176369 174478
