Day Deaths Previous
23 17 3
26 42 17
29 131 42
32 213 131
35 425 213
38 633 425
41 905 633
44 1117 905
47 1663 1117
50 2003 1663
53 2238 2003
56 2595 2238
59 2746 2595
62 2872 2746
65 2983 2872
68 3072 2983
71 3139 3072
74 3180 3139
77 3217 3180
80 3249 3217
83 3274 3249
86 3285 3274
89 3299 3285
92 3309 3299
95 3326 3309
98 3335 3326
101 3339 3335
104 3343 3339
107 3346 3343
110 4636 3346
113 4636 4636
116 4636 4636
119 4637 4636
122 4637 4637
125 4637 4637
128 4637 4637
131 4637 4637
134 4637 4637
137 4637 4637
140 4638 4637
