Day Deaths Previous
22 6 2
25 26 6
28 82 26
31 171 82
34 361 171
37 563 361
40 805 563
43 1112 805
46 1521 1112
49 1864 1521
52 2238 1864
55 2445 2238
58 2717 2445
61 2837 2717
64 2947 2837
67 3044 2947
70 3123 3044
73 3172 3123
76 3203 3172
79 3241 3203
82 3259 3241
85 3281 3259
88 3296 3281
91 3308 3296
94 3322 3308
97 3333 3322
100 3337 3333
103 3343 3337
106 3345 3343
109 4636 3345
112 4636 4636
115 4636 4636
118 4637 4636
121 4637 4637
124 4637 4637
127 4637 4637
130 4637 4637
133 4637 4637
136 4637 4637
139 4638 4637
