Day Recoveries Previous
24 30 0
27 49 30
30 120 49
33 275 120
36 843 275
39 1999 843
42 3918 1999
45 6217 3918
48 10755 6217
51 15962 10755
54 22699 15962
57 27676 22699
60 36329 27676
63 44854 36329
66 52292 44854
69 57388 52292
72 61644 57388
75 65660 61644
78 68798 65660
81 71266 68798
84 72814 71266
87 74181 72814
90 75582 74181
93 76405 75582
96 76946 76405
99 77410 76946
102 77791 77410
105 78039 77791
108 78401 78039
111 77690 78401
114 77861 77690
117 78175 77861
120 78422 78175
123 78573 78422
126 78792 78573
129 78977 78792
132 79167 78977
135 79246 79167
138 79293 79246
